sim_time, unit_box_Custom?world_angular_velocity/x
0.829, 1.71995e-17
0.83, 9.99992e-18
0.831, 1.10434e-17
0.832, 1.47513e-17
0.833, 1.29025e-17
0.834, 1.01437e-17
0.835, 1.227e-17
0.836, 1.70825e-17
0.837, 9.43877e-18
0.838, 1.06768e-17
0.839, 1.54893e-17
0.84, 1.22864e-17
0.841, 1.17481e-17
0.842, 1.2564e-17
0.843, 7.58482e-18
0.844, 1.28197e-17
0.845, 1.40797e-17
0.846, 9.79408e-18
0.847, 7.28482e-18
0.848, 1.60724e-17
0.849, 7.54048e-18
0.85, 1.49958e-17
0.851, 1.24866e-17
0.852, 9.30714e-18
0.853, 1.01012e-17
0.854, 1.26951e-17
0.855, 1.41827e-17
0.856, 1.23121e-17
0.857, 1.33555e-17
0.858, 9.28641e-18
0.859, 6.52771e-18
0.86, 1.40047e-17
0.861, 1.14954e-17
0.862, 1.36217e-17
0.863, 1.53039e-17
0.864, 1.25452e-17
0.865, 9.14773e-18
0.866, 1.55203e-17
0.867, 1.10069e-17
0.868, 1.00245e-17
0.869, 1.12626e-17
0.87, 1.47428e-17
0.871, 1.46486e-17
0.872, 5.6726e-18
0.873, 1.35939e-17
0.874, 1.43879e-17
0.875, 1.51818e-17
0.876, 1.20008e-17
0.877, 1.10184e-17
0.878, 1.04801e-17
0.879, 9.07533e-18
0.88, 1.23393e-17
0.881, 1.29386e-17
0.882, 9.73582e-18
0.883, 1.40825e-17
0.884, 1.48765e-17
0.885, 1.36995e-17
0.886, 9.18611e-18
0.887, 1.26446e-17
0.888, 1.2128e-17
0.889, 1.40596e-17
0.89, 9.96856e-18
0.891, 1.54529e-17
0.892, 1.7601e-17
0.893, 1.12896e-17
0.894, 1.43257e-17
0.895, 1.22605e-17
0.896, 1.70513e-17
0.897, 7.18718e-18
0.898, 1.28661e-17
0.899, 1.39096e-17
0.9, 1.27327e-17
0.901, 8.66355e-18
0.902, 1.83393e-17
0.903, 1.20279e-17
0.904, 1.55081e-17
0.905, 9.64071e-18
0.906, 1.13229e-17
0.907, 9.02993e-18
0.908, 7.60345e-18
0.909, 2.03878e-17
0.91, 1.54303e-17
0.911, 1.40038e-17
0.912, 1.16892e-17
