sim_time, unit_box_Custom?world_pose/orientation/roll
0.795, 7.43505e-19
0.796, 7.45702e-19
0.797, 7.44553e-19
0.798, 7.44559e-19
0.799, 7.43882e-19
0.8, 7.50204e-19
0.801, 7.48206e-19
0.802, 7.46257e-19
0.803, 7.41687e-19
0.804, 7.46486e-19
0.805, 7.44225e-19
0.806, 7.47336e-19
0.807, 7.42942e-19
0.808, 7.43033e-19
0.809, 7.45388e-19
0.81, 7.46455e-19
0.811, 7.45346e-19
0.812, 7.44281e-19
0.813, 7.44592e-19
0.814, 7.48944e-19
0.815, 7.47566e-19
0.816, 7.45789e-19
0.817, 7.46276e-19
0.818, 7.47252e-19
0.819, 7.4605e-19
0.82, 7.45337e-19
0.821, 7.43336e-19
0.822, 7.46264e-19
0.823, 7.42575e-19
0.824, 7.45591e-19
0.825, 7.41989e-19
0.826, 7.45537e-19
0.827, 7.46021e-19
0.828, 7.48769e-19
0.829, 7.48008e-19
0.83, 7.43295e-19
0.831, 7.42178e-19
0.832, 7.43326e-19
0.833, 7.43185e-19
0.834, 7.45753e-19
0.835, 7.44369e-19
0.836, 7.42584e-19
0.837, 7.45728e-19
0.838, 7.41811e-19
0.839, 7.41934e-19
0.84, 7.45211e-19
0.841, 7.47199e-19
0.842, 7.43458e-19
0.843, 7.46867e-19
0.844, 7.48543e-19
0.845, 7.4671e-19
0.846, 7.41813e-19
0.847, 7.43621e-19
0.848, 7.44141e-19
0.849, 7.46038e-19
0.85, 7.45313e-19
0.851, 7.44189e-19
0.852, 7.43997e-19
0.853, 7.46958e-19
0.854, 7.45078e-19
0.855, 7.41465e-19
0.856, 7.44114e-19
0.857, 7.45918e-19
0.858, 7.44214e-19
0.859, 7.46551e-19
0.86, 7.44934e-19
0.861, 7.47803e-19
0.862, 7.4894e-19
0.863, 7.46567e-19
0.864, 7.43351e-19
0.865, 7.43731e-19
0.866, 7.45488e-19
0.867, 7.43292e-19
0.868, 7.44693e-19
0.869, 7.47914e-19
0.87, 7.44517e-19
0.871, 7.42942e-19
0.872, 7.45851e-19
0.873, 7.46583e-19
0.874, 7.48248e-19
0.875, 7.49957e-19
0.876, 7.45493e-19
0.877, 7.46401e-19
0.878, 7.45133e-19
0.879, 7.45686e-19
0.88, 7.44507e-19
0.881, 7.42483e-19
0.882, 7.43168e-19
0.883, 7.43897e-19
0.884, 7.45113e-19
0.885, 7.44598e-19
0.886, 7.43239e-19
0.887, 7.41479e-19
0.888, 7.43761e-19
0.889, 7.43865e-19
0.89, 7.43126e-19
0.891, 7.45984e-19
0.892, 7.46221e-19
0.893, 7.42505e-19
0.894, 7.41942e-19
0.895, 7.44975e-19
0.896, 7.45832e-19
0.897, 7.4629e-19
0.898, 7.42794e-19
0.899, 7.44227e-19
0.9, 7.47925e-19
0.901, 7.45006e-19
0.902, 7.3991e-19
0.903, 7.47293e-19
0.904, 7.44505e-19
0.905, 7.45759e-19
0.906, 7.44392e-19
0.907, 7.45733e-19
0.908, 7.42678e-19
0.909, 7.46329e-19
0.91, 7.45138e-19
0.911, 7.48876e-19
0.912, 7.48218e-19
0.913, 7.44939e-19
0.914, 7.44368e-19
0.915, 7.47838e-19
0.916, 7.46912e-19
0.917, 7.46917e-19
0.918, 7.44303e-19
0.919, 7.4484e-19
0.92, 7.47643e-19
0.921, 7.4738e-19
0.922, 7.4583e-19
0.923, 7.47432e-19
0.924, 7.45969e-19
0.925, 7.47659e-19
0.926, 7.47173e-19
0.927, 7.42734e-19
0.928, 7.42779e-19
0.929, 7.45534e-19
0.93, 7.43891e-19
0.931, 7.45402e-19
0.932, 7.42515e-19
0.933, 7.46334e-19
0.934, 7.45312e-19
0.935, 7.49219e-19
0.936, 7.49173e-19
0.937, 7.45174e-19
0.938, 7.43884e-19
0.939, 7.43526e-19
0.94, 7.45433e-19
0.941, 7.43386e-19
0.942, 7.44937e-19
0.943, 7.46532e-19
0.944, 7.4595e-19
0.945, 7.463e-19
0.946, 7.4403e-19
0.947, 7.45801e-19
0.948, 7.44507e-19
0.949, 7.47698e-19
0.95, 7.4516e-19
0.951, 7.43555e-19
0.952, 7.43769e-19
0.953, 7.44472e-19
0.954, 7.44775e-19
0.955, 7.45122e-19
0.956, 7.47733e-19
0.957, 7.45947e-19
0.958, 7.4687e-19
0.959, 7.43841e-19
0.96, 7.47072e-19
0.961, 7.45463e-19
0.962, 7.44785e-19
0.963, 7.43708e-19
0.964, 7.44451e-19
0.965, 7.46127e-19
0.966, 7.42517e-19
0.967, 7.45613e-19
0.968, 7.4742e-19
0.969, 7.43055e-19
0.97, 7.47171e-19
0.971, 7.48222e-19
0.972, 7.43544e-19
0.973, 7.46904e-19
0.974, 7.44535e-19
0.975, 7.47983e-19
0.976, 7.44814e-19
0.977, 7.49682e-19
0.978, 7.42604e-19
0.979, 7.45784e-19
0.98, 7.45456e-19
0.981, 7.45171e-19
0.982, 7.46263e-19
0.983, 7.49175e-19
0.984, 7.4769e-19
0.985, 7.45362e-19
0.986, 7.44853e-19
0.987, 7.47497e-19
0.988, 7.47965e-19
0.989, 7.44924e-19
0.99, 7.44592e-19
0.991, 7.44303e-19
0.992, 7.42283e-19
0.993, 7.44303e-19
0.994, 7.46367e-19
0.995, 7.40926e-19
0.996, 7.43078e-19
0.997, 7.45719e-19
0.998, 7.46183e-19
0.999, 7.43582e-19
1, 7.45022e-19
1.001, 7.46063e-19
1.002, 7.47591e-19
1.003, 7.42502e-19
1.004, 7.44118e-19
1.005, 7.47555e-19
1.006, 7.44818e-19
1.007, 7.47011e-19
1.008, 7.43474e-19
1.009, 7.47975e-19
1.01, 7.45859e-19
1.011, 7.44675e-19
1.012, 7.462e-19
1.013, 7.4466e-19
1.014, 7.46716e-19
1.015, 7.47485e-19
1.016, 7.45633e-19
1.017, 7.44269e-19
1.018, 7.45169e-19
1.019, 7.47002e-19
1.02, 7.50655e-19
1.021, 7.42362e-19
1.022, 7.43883e-19
1.023, 7.47224e-19
1.024, 7.45724e-19
1.025, 7.44712e-19
1.026, 7.46854e-19
1.027, 7.46818e-19
1.028, 7.46827e-19
1.029, 7.45103e-19
1.03, 7.44312e-19
1.031, 7.46229e-19
1.032, 7.45525e-19
1.033, 7.46642e-19
1.034, 7.50468e-19
1.035, 7.43679e-19
1.036, 7.44929e-19
1.037, 7.44001e-19
1.038, 7.45339e-19
1.039, 7.44943e-19
1.04, 7.46369e-19
1.041, 7.46506e-19
1.042, 7.46687e-19
1.043, 7.45136e-19
1.044, 7.46737e-19
1.045, 7.43053e-19
1.046, 7.45187e-19
1.047, 7.42036e-19
1.048, 7.4559e-19
1.049, 7.46523e-19
1.05, 7.43948e-19
1.051, 7.4497e-19
1.052, 7.43815e-19
1.053, 7.44925e-19
1.054, 7.50075e-19
1.055, 7.46388e-19
1.056, 7.43189e-19
1.057, 7.44031e-19
1.058, 7.44028e-19
1.059, 7.4407e-19
1.06, 7.47708e-19
1.061, 7.46506e-19
1.062, 7.47567e-19
1.063, 7.43344e-19
1.064, 7.47603e-19
1.065, 7.50129e-19
